title,notes,uploaded
Diageo - Learning for Life,,Y
Doosan Babcock - 125th Anniversary Film,,Y
Education Scotland - Global Citizenship,finishing each other’s sentences; transcription would read as though one person spoke; good intercutting of children cutaways,Y
Education Scotland - Outdoor Learning,,Y
Education Scotland - Sustainable Development,,Y
Education Scotland - The Art of Learning and Beyond,,Y
Kent County Council - Fraud and Financial Abuse,drama,
Kent County Council - Fraud and Financial Abuse-social media,,Y
LBG - CFTV Risk Episode 2,,
LBG - Customer First tv - Risk,sound effects,Y
LBG - Inclusive Communications,,Y
LBG - Mental Health Strategy,,Y
LBG - Vulnerable Customers - Domestic Abuse,,
Napier Innovation Hub - Cogmhear,finishing each other’s sentences; transcription would read as though one person spoke; onbrand graphics,
Napier Innovation Hub - CSY Architects,,
Napier Innovation Hub - Transforming Timber,,
NES - Bereavement A&E,music used as sound effect; good use of stock; worked closely with client on feedback to make it NHS brand complient,Y
NES Mobile Skills Unit Testimonial,finishing each other’s sentences; transcription would read as though one person spoke,
New Register House Tour,creative music editing,
Newton 2021 - Event opening film,classy promo,
Newton 2021 - Teaser,,
Newton Presentation 2024,,
Newton Presentation 2024 - Dimitri,,
Newton Presentation 2024 - Euan,,
Newton Presentation 2024 - Euan - Diversity and Inclusion,,
Newton Presentation 2024 - Jason,Simple but effective onbrand graphics done on tight budget,
Newton Presentation 2024 - Lars,,
Newton Presentation 2024 - Mitesh,,
Newton Presentation 2024 - Sarah,,
NHS Child and Adolescent Trauma,animation sound effects,
NHS Workplace Bereavement - Care at Home Manager,,
NHS Workplace Bereavement - GP Practice Manager,,
NHS Workplace Bereavement - Home Carer,,
NHS Workplace Bereavement - Nurse,,
NHS Workplace Bereavement - Orthopaedic Trauma Consultant,,
NHS Workplace Bereavement - Porter,,
Oceans Of Value,long form documentary,Y
Oceans of Value - Chapter 1,,
Oceans of Value - Chapter 5 with credits,,
Scottish Enterprise - Annual Review 2015,made quickly in response to client feedback; footage was filmed for entirely different brief,Y
Scottish Enterprise - Eco Build,,Y
Scottish Enterprise - Making Scotland's Future 2023,cut to beat both between shots and action within shots; integrating external supplied graphics and edit graphics,Y
Scottish Enterprise - MIPIM Conference 2019,,Y
Scottish Land Commission - Portobello,,Y
SCTS - Community Sentencing,,Y
SCTS - Prison Sentencing,custom music; finishing each other’s sentences,Y
SSE - Beauly Denny Project-Tower Construction,,Y
Stagecoach - Driving Fitness intro video,,Y
Stagecoach - Squad on board part 2,,
Stagecoach - SquadOnBoard,"good use of music, cutting to different tracks to suit each finalist",Y
Talent Scotland - Laura,,Y
VisitScotland - Castles promo (German),"foreign language graphics, worked closely with client for placement and timings",
VisitScotland - Film locations promo (German),"foreign language graphics, worked closely with client for placement and timings",Y
